role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Manager,16500,yr,2000,42000,yr,P,2019,18,,white,BA
Manager,35000,yr,2009,45000,yr,P,2019,15,,white,MA
Research,25000,yr,2011,40000,yr,P,2014,5,female,white,BA
Director,65000,yr,2019,65000,yr,P,2019,5,female,,BA
Librarian,,,,63000,yr,P,2019,9,,,MLIS
Manager,27000,yr,2009,40000,yr,HP,2019,9,female,white,MA
Assistant Curator,42098,yr,2017,43533,yr,P,2018,3,female,white,BA
Registrar,44000,yr,2015,50000,yr,P,2019,7,female,white,
Director,46000,yr,2014,53000,yr,,2019,20,female,white,
Assistant,18,hr,2016,20.51,hr,H,2019,5,female,white,BA
Manager,26000,yr,2008,55000,yr,P,2019,,,,
Conservator,75000,yr,2015,80000,yr,P,2019,14,female,asian,MA
Registrar,21000,yr,2016,33700,yr,HP,2019,4,male,,HS
Education,20000,yr,2016,20000,yr,H,2019,4,,,BA
Curator,14,hr,2017,17.63,hr,H,2019,5,male,white,None required MA preferred
Manager,50000,yr,2017,65000,yr,P,2019,8,female,mixed,BA required MA preferred
Director,110000,yr,2014,120000,yr,P,2019,35,female,white,MA
Assistant Curator,36000,yr,2016,42000,yr,H,,6,,,MA
Coordinator,40000,yr,2015,40000,yr,P,2017,3,female,white,MA
Visitor Experience,12,hr,2018,13,hr,H,2019,1,female,latino,No degree
Sales,11.5,hr,2018,11.5,hr,H,2019,15,female,white,BA
Assistant Curator,38000,yr,2019,38000,yr,H,2019,3,female,latino,BA required MA preferred
Assistant,55000,yr,2011,65000,yr,P,2016,15,,,MA
Archivist,40000,yr,2015,67000,yr,P,2017,5,female,,MA
Manager,46000,yr,2017,51000,yr,P,2019,10,,,
Designer,,,,52000,yr,,2019,14,,,
Education,31000,yr,2014,32000,yr,P,,5,,,
Education,31000,yr,2014,32000,yr,P,,5,,,
Assistant,31.2,hr,2017,33.64,hr,,2019,3,female,,
Assistant,9,hr,2018,9,hr,H,2019,0,female,white,HS
Assistant,48500,yr,2018,51530,yr,P,2019,4,female,,MA
Assistant Educator,37500,yr,2019,37500,yr,P,2019,7,female,,MA
Visitor Experience,42000,yr,2019,42000,yr,HP,,3,female,asian,MA
Assistant,37440,yr,2019,37440,yr,P,2019,4,female,white,BA required MA preferred
Coordinator,16.5,hr,2017,16.5,hr,,2019,3,female,white,No degree
Manager,36000,yr,2007,75000,yr,P,2019,18,female,white,No degree
Assistant,,,,,,H,,10,female,white,
Assistant,26500,yr,2019,27500,yr,P,2019,5,female,white,BA
Director,40000,yr,2019,40000,yr,P,2019,6,female,white,No degree
Archivist,43000,yr,2018,43000,yr,H,2019,15,male,white,PhD
Teacher,75,hr,2018,2019,yr,H,2019,6,female,white,MA
Communications,50000,yr,2019,50000,yr,P,2019,4,female,white,
Director,50000,yr,2014,52500,yr,P,2019,10,female,mixed,
Manager,40000,yr,2016,42000,yr,P,2019,3,female,white,MA
Manager,53000,yr,,53000,yr,P Full Time,2019,6,female,white,MA
Director,15000,yr,2017,24000,yr,,,9,female,white,MA
Writer,50000,yr,2018,50000,yr,P,,15,female,white,BA
Assistant,37000,yr,2018,37000,yr,P,2019,5,female,mixed,BA
Manager,18,hr,2017,47000,yr,P Full Time,2018,6,,,
Coordinator,49000,yr,2016,50400,yr,P,2019,10,female,poc,BA
Manager,45000,yr,2012,47000,yr,,2014,4,,,BA
Assistant Director,45000,yr,2013,50000,yr,,2018,5,female,latino,MA
Manager,35000,yr,2012,80000,yr,P,2019,7,,,
other,31000,yr,2017,35000,yr,P,2019,4,,,
other,175000,yr,2018,180000,yr,P,2019,15,female,white,MA
Admin,45000,yr,2019,45000,yr,P,2019,3,,,
Editor,30000,yr,2018,32000,yr,P,2019,2,female,white,BA
Manager,58000,yr,2015,58000,yr,P,2018,15,,,
Manager,28000,yr,2016,40000,yr,P,,,other,white,
Manager,14,hr,2013,20,hr,H,2019,6,female,white,
Editor,42,hr,2017,48,hr,H,2019,10,female,white,
Manager,,,,70000,yr,,,,,,
Assistant Curator,80000,yr,,80000,yr,P,2019,,female,mixed,PhD
Manager,38000,yr,2008,58000,yr,P,2019,10,male,white,BA
Assistant Registrar,54000,yr,2017,55000,yr,H,2019,10,female,,
Assistant Curator,62000,yr,2018,62000,yr,HP,2019,3,other,black,BA
