role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Assistant Registrar,14.58,hr,2015,15.47,hr,P,2019,4,female,white,BA required MA preferred
Conservator,59000,yr,2019,59000,yr,P,2019,15,,,MA
Conservator,52000,yr,2018,52000,yr,P,2019,7,female,white,MLIS
Director,40000,yr,2018,40000,yr,P,2019,12,,,MA
Communications,35500,yr,2015,47500,yr,P,2018,7,male,white,MA
Academic,23,hr,2018,23,hr,HC,2019,2,female,white,MA
Registrar,41000,yr,2016,43000,yr,P,2019,15,female,white,BA
Assistant Registrar,35000,yr,2017,40500,yr,P,2019,5,male,white,BA
Assistant Registrar,36000,yr,2018,37500,yr,P,2019,1,female,white,MA
Coordinator,39050,yr,2016,49500,yr,P,2019,4,female,mixed,BA
Communications,34600,yr,2017,37000,yr,H,2019,3,female,white,BA
Manager,41000,yr,2016,41250,yr,P,,7,female,white,MA
Manager,60000,yr,2019,,,P,2019,14,female,poc,MA
Registrar,24000,yr,2015,29250,yr,HP,2019,25,,,
Manager,12,hr,2017,14,hr,H Full Time,2017,1,,,
Manager,102000,yr,2019,,,C,2019,15,female,latino,MA
Assistant,13,hr,2019,,,H,2019,,female,white,None required BA preferred
Manager,54000,yr,2019,54000,yr,P,2019,9,female,white,BA
Coordinator,14,hr,2011,18,hr,H,2019,20,female,white,BA
Assistant,27000,yr,2014,27000,yr,P,2014,2,,,
Coordinator,32000,yr,2017,36000,yr,P,2019,7,female,white,BA
Assistant,11.25,hr,2018,11.25,hr,H,2019,7,female,white,BA required MA preferred
Technical,40000,yr,2016,45000,yr,H,,15,female,white,BA required MA preferred
Registrar,14,hr,2017,15,hr,H,2019,5,female,poc,
Curator,53000,yr,,68000,yr,P,2019,,,,
Designer,50408,yr,2009,89703,yr,P,2019,20,female,latino,MA
Curator,57000,yr,,,,P,2019,,female,white,
Curator,71901,yr,2019,71901,yr,C,2019,,,,MA
other,24344,yr,1994,72360,yr,P,2019,25,male,white,No degree
Registrar,48000,yr,2006,60000,yr,P,2019,17,female,white,MA
Curator,32000,yr,2017,42000,yr,P,2019,4,female,white,BA
Admin,30000,yr,2012,37000,yr,P,2018,12,female,white,MA
Manager,,,,58500,yr,P,2019,19,female,,BA required MA preferred
Curator,37500,yr,2012,56000,yr,P,2019,12,female,white,BA
Registrar,65000,yr,2017,67500,yr,,2019,18,female,,MA
Coordinator,13.4,hr,2019,13.4,hr,H,2019,1,female,white,
Director,42000,yr,2016,47500,yr,P,2019,10,,,
Assistant Curator,42000,yr,2015,55000,yr,P,2019,10,female,mixed,MA
Curator,42000,yr,2015,58000,yr,P,2019,9,female,white,MA
Assistant Director,28500,yr,2014,45000,yr,P,2019,7,female,white,MA
Relations,40000,yr,2017,42000,yr,P,,8,,,MA
Director,63000,yr,2017,65000,yr,P,2019,17,female,white,MA
Communications,41000,yr,,49000,yr,P,2019,,female,white,BA
Manager,40000,yr,2014,47970,yr,P,2019,12,female,,MA
Director,,,,108000,yr,P,2019,,,,
Coordinator,42000,yr,2018,45000,yr,P,2019,3,female,latino,BA
Director,20000,yr,2016,22500,yr,P,2019,6,female,,MA
Conservator,45000,yr,2019,45000,yr,P,2019,9,,,MA
Technical,64500,yr,2018,70000,yr,P,2019,11,female,white,MLIS
Director,50000,yr,2017,50000,yr,P,2019,10,female,white,MA
Director,23.6,hr,2014,30,hr,H,2019,8,,,
Manager,29000,yr,,32000,yr,H,2019,3,,poc,BA
Assistant,35500,yr,2019,37720,yr,H,2019,4,female,white,BA
Assistant Manager,32000,yr,2018,33000,yr,P,2019,6,male,white,BA
Manager,29.67,hr,2015,31.6,hr,H,2019,8,female,white,BA
Conservator,,,,70000,yr,P,2019,,,,
Assistant Director,,,,77000,yr,P,2019,10,female,white,No degree
Librarian,50000,yr,2016,53000,yr,,2019,5,female,white,MLIS
Director,82500,yr,2013,85000,yr,P,2016,8,female,white,BA
Assistant Registrar,43000,yr,2018,44000,yr,,,2,,,
Communications,38000,yr,2013,43000,yr,,2017,5,female,,
Communications,50000,yr,2018,50000,yr,P,2019,15,female,white,MA
Assistant Curator,62000,yr,2018,65000,yr,P,2019,8,female,white,MA
Gallery Assistant,35000,yr,2018,35000,yr,P,,2,female,poc,BA
Curator,35000,yr,2005,35000,yr,C,2009,0,,,
Manager,67000,yr,2019,67000,yr,P Full Time,2019,5,female,,
Coordinator,43000,yr,2017,47500,yr,P,2019,5,female,white,BA
Registrar,13.78,hr,2014,20.06,hr,HP,2019,5,female,,MA
Registrar,61000,yr,2019,61000,yr,P,2019,6,female,,MA
Assistant,22,hr,,22,hr,HC,2019,3,female,white,
Assistant,37000,yr,2018,40000,yr,P,2019,1,female,white,BA
Director,72000,yr,2018,75000,yr,P,2019,10,female,white,MA
Manager,42000,yr,2015,44500,yr,P,,5,,,MA
Assistant Director,30000,yr,2012,32600,yr,P,2017,10,female,mixed,MA
Registrar,25,hr,2015,45,hr,H,,12,male,white,BA
Conservator,30000,yr,2018,32000,yr,C,2019,5,female,white,MA
Manager,30000,yr,2013,40000,yr,P,2019,10,,,BA
Curator,60000,yr,2018,85000,yr,,2019,15,,,
Assistant Curator,57000,yr,,60000,yr,P,2019,,female,white,
Director,80000,yr,2016,84000,yr,P,2019,21,male,white,MA
Director,24,hr,2018,24,hr,H,2019,12,female,white,BA
Visitor Experience,33.28,hr,2016,37.44,hr,H Full Time,2019,4,female,white,BA
Curator,60000,yr,2014,65000,yr,P,2019,9,male,white,
Director,70000,yr,2018,70000,yr,P,2019,9,female,white,MA
Coordinator,33000,yr,2019,35000,yr,P,2019,2,female,white,BA required MA preferred
Director,75000,yr,2018,78750,yr,P,2019,11,female,mixed,MA
Manager,29000,yr,2019,29000,yr,P,2019,0,female,white,
Director,48000,yr,2017,48000,yr,C,2019,20,female,,None required MA preferred
Communications,35000,yr,2017,41000,yr,H,2019,3,female,latino,BA
Director,45000,yr,2018,50000,yr,P,2019,3,female,white,BA
Designer,30000,yr,2015,45000,yr,H,2019,6,male,white,BA
Assistant,16,hr,2018,16,hr,H,2019,3,female,latino,BA required MA preferred
Communications,45000,yr,2014,53000,yr,P,2019,15,,,BA required MA preferred
Assistant,42000,yr,2018,52800,yr,P,2019,2,female,white,BA
Assistant Director,10,hr,2005,12,hr,H,2017,,male,mixed,BA required MA preferred
Coordinator,15,hr,2012,20.1,hr,H,2019,10,female,,MA
Admin,40000,yr,2011,40000,yr,P,2013,4,female,mixed,MA
Manager,,,,82000,yr,P,2019,15,female,white,
Curator,40500,yr,2018,40500,yr,P Full Time,2019,1,female,white,BA
Curator,13.5,hr,2017,15,hr,HP,2019,0,female,white,BA
Librarian,40000,yr,2013,58500,yr,P,2019,10,,,MLIS
Manager,18000,yr,1998,47500,yr,P,2017,21,female,white,
Curator,40000,yr,2019,,,,2019,10,female,white,MA
Assistant Director,51500,yr,2018,51500,yr,P,2019,,female,,BA
Coordinator,14,hr,2018,15.5,hr,HP,2019,5,female,,
Manager,73000,yr,2014,75000,yr,,2019,20,female,,
Director,47000,yr,2011,70000,yr,P,2019,20,female,white,
Director,48000,yr,2017,51000,yr,P,2019,,female,white,
Coordinator,15.5,hr,2014,16.99,hr,H,2019,10,female,white,BA required MA preferred
Coordinator,,,,28.8,hr,H,2019,3,female,white,
Manager,45000,yr,2018,45000,yr,,2010,3,female,poc,BA
Assistant Director,24960,yr,2015,33696,yr,H,2019,4,female,white,BA
Coordinator,37500,yr,2016,41100,yr,H,2019,3,female,white,MA
Curator,49000,yr,2017,50000,yr,C,2019,15,female,white,MA
Assistant Curator,38000,yr,,48000,yr,P,2016,,,,
Director,35000,yr,,35000,yr,H Full Time,2019,,female,,
Communications,58000,yr,2016,67000,yr,P,2019,15,female,white,BA
Assistant Director,10,hr,2015,10,hr,HP,2019,25,female,white,BA
Curator,46600,yr,,46600,yr,P Full Time,2019,,female,white,
Communications,50000,yr,2017,50000,yr,,2019,20,female,latino,BA
Manager,33000,yr,2018,35000,yr,P,2019,2,female,white,BA
Manager,28912,yr,2015,33280,yr,H,2019,10,,,
Communications,20000,yr,2015,20000,yr,HP,2016,3,female,white,BA required MA preferred
Registrar,31200,yr,2017,35000,yr,P,2019,4,female,white,BA
Designer,33000,yr,2011,34000,yr,,2014,5,female,,BA
Coordinator,16,hr,2018,19.78,hr,H,2019,3,,white,BA
Manager,60000,yr,2018,62000,yr,P,2019,10,female,white,MA
Manager,35000,yr,2015,50000,yr,P,2019,5,female,white,BA required MA preferred
other,75000,yr,2015,90000,yr,P,2019,20,female,white,MA
Manager,42000,yr,2019,42000,yr,P,2019,8,female,white,MA
Manager,,,,60000,yr,,2019,15,female,poc,BA
Manager,45000,yr,2018,46000,yr,P,2019,5,female,white,MA
Assistant Curator,,,,52000,yr,P,2019,5,,,MA
Gallery Assistant,15.5,hr,2018,15.5,hr,HP,2019,3,female,white,BA required MA preferred
Designer,33000,yr,2006,56540,yr,P,2019,32,male,white,BA
Director,,,,70000,yr,P,2019,7,,,
Curator,32000,yr,2014,36500,yr,P,2018,3,female,white,MA
Curator,70000,yr,2016,75000,yr,,2019,15,female,white,MA required PhD preferred
Visitor Experience,4200,yr,2016,4200,yr,C,2019,6,,,
Designer,45000,yr,2008,52000,yr,P,2016,15,male,white,BA
Manager,60000,yr,2011,68000,yr,P,2017,14,female,white,MA
Manager,68000,yr,2016,71512,yr,P,2019,10,female,,MA
Coordinator,,,,85000,yr,P,2019,10,,,MA
Visitor Experience,50000,yr,2018,51200,yr,P,2019,5,female,white,BA
Registrar,17,hr,2015,19,hr,HP,2019,6,male,white,MA
Curator,70,hr,2019,70,hr,HC,2019,6,female,white,BA
Curator,27500,yr,2010,31200,yr,,2019,24,female,white,BA
Director,35000,yr,2018,35000,yr,P,2019,2,female,white,BA
Curator,42000,yr,2015,52000,yr,P,,7,female,white,MA required PhD preferred
Coordinator,42000,yr,2017,44500,yr,,,,female,poc,
Assistant,26,hr,2012,33,hr,H Part Time,,,male,white,
Director,85000,yr,,,,,2019,,,,
Relations,15,hr,2019,15,hr,H,2019,3,female,white,BA
Communications,,,,75000,yr,P,2019,15,female,white,MA
Assistant Curator,38000,yr,2013,58000,yr,P,2019,9,female,white,MA
Manager,42000,yr,2013,55000,yr,,2018,6,female,mixed,
Communications,18000,yr,1990,55000,yr,P,2019,29,male,white,
Manager,50500,yr,2018,53000,yr,P,2019,5,female,white,None required MA preferred
Manager,18,hr,2015,22,hr,H,2016,7,female,white,
Communications,40000,yr,2015,,yr,P,2017,,female,white,BA
Communications,80000,yr,2017,84000,yr,P,2019,7,male,black,BA
Director,100000,yr,,100000,yr,P,2019,8,female,white,BA
Research,40000,yr,2016,40000,yr,P,2018,2,female,white,BA
Manager,25,hr,2017,25,hr,H,2018,8,female,white,
Gallery Assistant,25,hr,2019,25,hr,H,2019,6,female,white,MA
Registrar,30000,yr,,50000,yr,P,2019,10,,white,No degree
Manager,50000,yr,2018,50000,yr,P,2019,6,female,,BA
Curator,,,2018,150000,yr,P,2019,21,female,white,MA
Registrar,45000,yr,2019,45000,yr,P,2019,1,,,
Manager,40000,yr,2017,45000,yr,P,2019,8,,,BA
Assistant Registrar,32000,yr,2008,60000,yr,P,2019,10,female,white,MA
Manager,45000,yr,2012,65000,yr,P,2015,4,female,white,
Technical,85000,yr,,85000,yr,P,,15,male,,MA
Director,0,yr,,72000,yr,P,2019,8,female,white,MA
Manager,62000,yr,2016,69000,yr,P,2019,19,,,
Relations,15,hr,2019,15,hr,C,2019,0,female,,
Assistant Director,15,hr,2014,17,hr,H,2018,5,,,BA
Assistant Curator,35000,yr,2014,58000,yr,P,2019,6,female,white,MA
Director,24,hr,,,,H,2019,15,female,white,
Director,16,hr,2018,17,hr,H,2019,3,female,white,BA
Director,54000,yr,,,,,2019,10,female,,
other,16.68,hr,,16.68,hr,C,,4,,white,BA required MA preferred
Curator,50000,yr,2016,65000,yr,P,2019,6,,,MA
Education,40000,yr,2018,41500,yr,P,2019,5,,,
Registrar,14,hr,,14,hr,H,2019,1,female,,
Assistant Curator,0,yr,2018,0,yr,H,2019,5,,,MA
Security,15,hr,2017,17,hr,H,2019,5,female,white,No degree
Art Handler,18,hr,,21,hr,HP,,,,,
Manager,,,,30,hr,P,2019,,,,
Manager,55000,yr,2015,55000,yr,H,2019,11,female,white,BA
Director,35000,yr,2003,50000,yr,P,2019,20,female,white,MA
Manager,15,hr,2016,17.66,hr,H,2019,8,female,white,BA required MA preferred
Sales,27000,yr,2017,29000,yr,P,2019,3,male,,BA
Director,65000,yr,2018,65000,yr,P,2019,15,female,white,
Manager,60000,yr,2018,60000,yr,H,2019,13,,,
Manager,60000,yr,2015,63000,yr,P,2019,5,female,,MA
Director,42000,yr,2017,54000,yr,P,2019,12,female,white,
Manager,40000,yr,2017,41400,yr,P,2018,3,female,,BA
other,42000,yr,2017,45000,yr,P,2019,11,female,white,BA
Manager,19000,yr,2017,21500,yr,H,2019,5,male,white,BA
Visitor Experience,16,hr,2017,16,hr,H,2019,10,female,white,BA
Conservator,57000,yr,2017,62400,yr,P,2019,6,other,,BA
Director,30000,yr,2000,30879,yr,P,2002,5,female,white,BA required MA preferred
Director,13000,yr,2016,31000,yr,P,2019,6,male,white,No degree
Designer,52000,yr,2018,52000,yr,P,2019,7,female,latino,BA
Manager,22,hr,2016,23.5,hr,HP,2019,18,female,white,No degree
Manager,48000,yr,2019,48000,yr,H Part Time,,,,,
Manager,20,hr,2018,22,hr,HP,2019,7,,,
Registrar,53000,yr,2018,53000,yr,P,2019,12,female,,
Coordinator,33000,yr,2017,37000,yr,H,2019,8,,,
Conservator,35000,yr,2003,80000,yr,P,2019,23,female,white,MA
Registrar,60000,yr,2015,63000,yr,P,2019,6,female,white,
Assistant Curator,48000,yr,,52000,yr,P,2016,,,,
Assistant,,,,,,,2019,,,,
Communications,45000,yr,2019,45000,yr,P,2019,5,female,white,BA
Registrar,0,yr,2014,20,hr,H,2018,4,other,white,BA
Assistant,60000,yr,2019,60000,yr,P,2019,10,female,white,
Gallery Assistant,7,hr,2016,7.5,hr,C,2017,0,,,MA
Visitor Experience,14,hr,2018,14,hr,H,,,,,BA required MA preferred
Archivist,22,hr,2019,22,hr,H,2019,3,female,mixed,MLIS
Curator,58000,yr,2003,97000,yr,P,2019,20,female,latino,PhD
Archivist,21,hr,,23,hr,H Part Time,2019,3,female,white,BA required MA preferred
Manager,50000,yr,2018,50000,yr,P,2019,8,female,,MA
Director,55000,yr,,66500,yr,P,2019,,female,white,MA
other,30000,yr,2014,47250,yr,P,2019,7,female,white,MA
other,30000,yr,2014,47250,yr,P,2019,7,female,white,MA
Manager,53000,yr,2019,53000,yr,P,2019,5,male,latino,No degree
Editorial,12,hr,2016,27,hr,P,2019,4,,,BA
Manager,34000,yr,2017,35000,yr,P,2019,5,female,white,BA
Manager,38230,yr,2017,38609,yr,P,2029,20,female,mixed,MA
Curator,30000,yr,2019,30000,yr,H Part Time,2019,10,female,mixed,
Curator,14,hr,2018,15,hr,H,2019,2,,,BA
Conservator,82500,yr,2017,95500,yr,P,2019,10,female,white,MA
Librarian,18.31,hr,2019,18.67,hr,H,2019,,male,white,HS
Manager,45000,yr,2013,73000,yr,P,2019,13,female,white,MA
Archivist,54000,yr,2018,55600,yr,P Full Time,2019,7,female,white,MLIS
Curator,12,hr,,12.75,hr,HC,2019,,female,white,BA required MA preferred
Director,70000,yr,2018,70000,yr,P,2019,25,female,white,BA
Assistant,47500,yr,2017,50400,yr,P,2019,10,female,white,MA
other,38000,yr,2009,42000,yr,P,2013,4,female,white,MA
Curator,22000,yr,2018,22000,yr,P,2019,20,female,mixed,MA
Manager,40000,yr,2019,40000,yr,,2019,5,female,white,BA
Coordinator,26500,yr,2018,27500,yr,H,2019,0,female,white,BA
Writer,29000,yr,2014,30000,yr,P,2016,2,male,white,BA
Registrar,38000,yr,,45000,yr,,2019,5,male,white,
Director,54900,yr,2018,,,P,2018,20,female,,MA
Coordinator,38000,yr,2018,40000,yr,P,2019,10,female,white,
Assistant Curator,48000,yr,2017,52000,yr,,2019,10,female,,MA
Communications,30000,yr,2013,41000,yr,P,2019,6,,,
Director,70000,yr,2019,70000,yr,P,2019,6,,,
Curator,47000,yr,2017,47000,yr,H,2018,12,female,white,MA required PhD preferred
Gallery Assistant,15,yr,2017,15,hr,H,2019,5,female,white,BA
Assistant Curator,55000,yr,2016,65000,yr,P,2016,2,,,MA
Assistant,35000,yr,2013,52000,yr,P,2018,5,female,,BA
Manager,62000,yr,2016,72000,yr,C,2019,18,female,white,MA
Visitor Experience,33000,yr,2016,38568,yr,P,2018,4,female,white,BA
Registrar,23000,yr,2010,38000,yr,P,2019,,female,,
Curator,33000,yr,2010,57000,yr,P,2019,11,female,asian,BA
Curator,33000,yr,2010,57000,yr,P,2019,11,female,asian,BA
Visitor Experience,13.25,hr,2018,13.25,yr,,2019,1,,,MA
Director,,,2017,60000,yr,,,,male,white,
Manager,19.25,hr,2012,21,hr,HP,2019,6,female,,MA
Manager,67500,yr,2018,68175,yr,P,2019,4,female,white,BA
Relations,32000,yr,2016,34000,yr,H,2019,4,female,white,BA
Coordinator,15.75,hr,2018,16,hr,HP,2019,6,female,white,BA
Manager,50000,yr,2015,54000,yr,P,2019,5,female,white,BA
Assistant,33000,yr,2015,35500,yr,P,2018,3,male,white,MA
Director,42500,yr,2018,,,P,2019,12,female,white,
Assistant Manager,37000,yr,,44500,yr,P,2019,12,,white,
Manager,33000,yr,2016,,,P,2019,3,,,BA
Director,67000,yr,2017,72000,yr,P,2019,20,,,
Relations,38000,yr,2016,42000,yr,P,2019,5,male,white,BA
Technical,42000,yr,2018,42000,yr,P,2019,10,male,white,
Curator,46000,yr,2016,49900,yr,H,2019,10,female,white,BA required MA preferred
Curator,46000,yr,2016,49900,yr,H,2019,10,female,white,BA required MA preferred
Designer,58000,yr,2016,65000,yr,P,2019,9,,,BA required MA preferred
Coordinator,38000,yr,2015,42000,yr,P,2019,10,,,BA required MA preferred
Registrar,50000,yr,2014,56000,yr,P,2019,16,female,white,MA
other,0,yr,1994,200000,yr,C,2019,25,male,,
Director,110000,yr,2015,110000,yr,P,2019,20,male,white,BA
Coordinator,50000,yr,2017,55000,yr,P,2019,3,female,asian,
Curator,,,,80000,yr,P,2019,10,,,
Director,68000,yr,2019,68000,yr,P,2019,9,female,white,MA
Gallery Assistant,34000,yr,2015,40000,yr,H,2019,8,female,white,BA
Coordinator,40000,yr,2017,40000,yr,P,2019,5,female,white,
Manager,18,hr,2015,21,hr,H,2019,7,female,white,
Coordinator,32000,yr,2011,38000,yr,P,2015,11,female,white,MA
Manager,30000,yr,2018,30000,yr,,2019,3,female,white,BA
Intern,15,hr,,15,hr,H Part Time,2015,1,female,white,BA
Coordinator,14.5,hr,,,,HP,2019,,female,white,
Curator,31400,yr,,31400,yr,P Full Time,2019,3,female,white,MA
Registrar,42000,yr,,43260,yr,P,2019,8,female,white,BA required MA preferred
Curator,46000,yr,2017,47000,yr,P,2019,5,female,,PhD
Registrar,62000,yr,2019,,,,2019,6,female,white,MA
Director,78000,yr,2019,78000,yr,P,2019,15,female,white,MA
Manager,33500,yr,2006,75000,yr,P,2019,13,female,asian,BA
Curator,28000,yr,,32000,yr,P,2019,6,female,white,
Director,38000,yr,2014,54000,yr,P,2018,10,female,white,BA
Archivist,45000,yr,2018,45000,yr,C,2019,4,female,white,MLIS
Assistant Curator,36000,yr,2018,37000,yr,P,2019,,female,latino,
Assistant,42000,yr,2016,47500,yr,P Full Time,2019,5,female,white,MA
Manager,30720,yr,,60000,yr,H,2019,1,female,latino,None required BA preferred
Intern,24000,yr,2015,24000,yr,HC,2016,0,female,white,MA
Director,27000,yr,2013,28000,yr,H,2014,4,female,white,BA
Coordinator,28000,yr,2016,29000,yr,P,2019,4,female,white,BA required MA preferred
Director,50000,yr,2015,50000,yr,P,2019,1,female,white,MA
Registrar,35000,yr,2007,48000,yr,P,2017,8,female,,
Manager,25500,yr,2005,58500,yr,P,2019,14,female,poc,BA
Curator,19000,yr,2010,27000,yr,P,2013,,female,white,
Coordinator,30000,yr,,30000,yr,H,,4,female,asian,
Manager,57000,yr,2019,57000,yr,P,2019,5,female,,BA
Manager,12,hr,2014,19,hr,H,2019,11,female,,BA
Director,,,,77000,yr,P,2019,15,female,white,BA required MA preferred
Curator,19,hr,,19,hr,H,2016,25,female,white,MA
Assistant Curator,10,hr,,12,hr,H,2019,3,female,white,
Curator,33000,yr,,47999,yr,P,2019,9,female,white,BA
Curator,37500,yr,2014,40000,yr,P,2019,0,female,white,BA
Director,75000,yr,2019,75000,yr,P,2019,12,female,white,MA
Director,42000,yr,2004,72000,yr,P,2019,25,female,white,MA
Curator,41000,yr,,43000,yr,P,2019,5,female,white,MA
Coordinator,32000,yr,2018,32000,yr,P,2019,5,female,white,
Manager,18000,yr,2018,18000,yr,P,2019,2,female,,
Director,50000,yr,2017,63000,yr,P,2019,13,female,white,MA
Manager,40000,yr,2018,46000,yr,P Full Time,2019,6,female,,
Assistant,16500,yr,,16500,yr,H,2018,8,female,,
Director,47000,yr,2016,51000,yr,,2019,10,female,white,MA
Director,20,hr,2019,20,hr,H,2019,5,female,white,MA
Registrar,25,hr,,35,hr,H,2019,2,female,latino,BA required MA preferred
Curator,18.37,hr,,18.37,hr,P,2019,3,other,white,BA required MA preferred
Curator,75000,yr,2015,85000,yr,P,2019,12,female,white,MA required PhD preferred
Communications,29500,yr,2019,29500,yr,Full Time,2019,3,female,mixed,BA required MA preferred
Assistant Curator,53000,yr,,53000,yr,P,2019,,female,white,
Curator,24500,yr,2014,27250,yr,P,2019,10,male,white,No degree
Assistant Curator,16,hr,2016,,yr,H,2018,4,,,
Coordinator,10,hr,2009,13,hr,HC,2013,4,,,
Manager,16,hr,,25,hr,H Part Time,2019,7,female,white,BA required MA preferred
Assistant Curator,35000,yr,2019,,,C,2019,1,male,,BA
Assistant Director,30000,yr,2019,30000,yr,C,2019,3,male,white,MA
Assistant Curator,36000,yr,2017,41000,yr,P,2019,8,,,MA
Coordinator,39000,yr,2017,41000,yr,,2018,5,,,BA required MA preferred
Relations,42000,yr,,45000,yr,P,2013,3,female,white,BA
Assistant Educator,35000,yr,,35000,yr,P,2019,2,female,white,MA
Assistant Curator,35850,yr,,35850,yr,P,2019,5,female,white,MA
Visitor Experience,16,hr,2019,16,hr,H,2019,,female,white,BA
Curator,50000,yr,,53500,yr,P,2019,,female,white,
other,0,yr,,2.74,hr,,2019,7,,asian,
Manager,35000,yr,2018,40000,yr,P,2019,3,female,mixed,BA
Communications,60000,yr,2012,72000,yr,P,2019,18,female,white,BA
Director,50000,yr,,53000,yr,P Full Time,2014,10,female,poc,MA
Curator,62000,yr,,65000,yr,P,2019,18,female,white,MA
Communications,16,hr,2019,16,hr,HP,2019,9,female,white,No degree
Designer,15000,yr,2014,32000,yr,P,2018,5,female,,BA
Coordinator,50000,yr,2019,50000,yr,P,2019,3,,,BA
Curator,26000,yr,2013,53000,yr,P,2019,6,female,mixed,
Assistant,41000,yr,2016,56000,yr,HP,2019,5,female,mixed,
Registrar,20,hr,,33,hr,P,2019,20,,white,BA
Manager,55000,yr,2016,55000,yr,,2017,4,female,poc,
Assistant Curator,60000,yr,2018,60000,yr,P,2019,7,female,white,MA
Manager,45000,yr,2016,52500,yr,P,2019,6,female,white,BA required MA preferred
Curator,40000,yr,2017,40000,yr,P,2019,6,female,white,MA
Manager,38000,yr,2016,40000,yr,HP,2019,6,female,white,BA required MA preferred
Curator,90000,yr,,105000,yr,P,2019,20,male,white,MA
Curator,35000,yr,2013,37000,yr,P,2018,,female,white,
Intern,,,,15,hr,H,,4,female,,
Director,50000,yr,2015,53000,yr,P,2019,20,female,mixed,BA required MA preferred
Visitor Experience,13,hr,2018,13,hr,HP,2019,,female,white,
Manager,40000,yr,,45000,yr,C,2019,3,female,white,BA
Manager,19000,yr,2013,38200,yr,P,2019,7,female,white,BA
Manager,30000,yr,2017,31500,yr,P,2019,,female,poc,MA required PhD preferred
Manager,50000,yr,2019,,,P,2019,15,female,,BA
Manager,32000,yr,2016,32000,yr,P,2019,2,female,,BA
Communications,18000,yr,2004,41000,yr,P,2019,10,female,white,No degree
Curator,36790,yr,2017,38505,yr,P,2019,5,,,
Coordinator,15.08,hr,2017,15.08,hr,H,2018,6,female,white,BA
Curator,60000,yr,2017,62000,yr,P,2019,5,male,white,BA
Assistant Director,62500,yr,2017,70000,yr,P,2019,8,female,white,BA
Curator,23000,yr,2010,49500,yr,P,2019,9,,,BA
Conservator,57000,yr,2019,57000,yr,P,2019,1,female,white,MA
Registrar,12,hr,2018,15,hr,HP,2019,4,female,white,BA
Registrar,45000,yr,2017,,,P,,10,female,,MA
Manager,39000,yr,,49000,yr,P Full Time,2019,,other,poc,
Coordinator,35000,yr,2016,36000,yr,P,2019,6,female,,MA
Curator,41600,yr,2017,41600,yr,C,2019,10,female,white,MA
Registrar,26784,yr,2019,26784,yr,H,2019,2,female,white,BA
Conservator,51500,yr,2014,56400,yr,P,2019,5,female,white,MLIS
Conservator,31000,yr,2014,40000,yr,P,2019,6,male,white,BA required MA preferred
Relations,33000,yr,2018,38000,yr,P,2019,3,female,white,BA
other,12700,yr,2018,,,H,2018,2,,,No degree
Registrar,36000,yr,2007,45000,yr,H,2019,14,female,white,BA
Assistant Director,53500,yr,2013,56000,yr,P,2019,8,female,white,BA
Curator,48000,yr,2016,49000,yr,P,2019,11,female,white,BA
Relations,35000,yr,2013,50000,yr,P,2019,10,female,white,BA
Assistant Registrar,17.8,hr,2017,18.9,hr,H,2019,5,female,white,MA
Manager,60000,yr,2018,60000,yr,P,2019,8,female,white,BA
Education,48000,yr,2018,48000,yr,P,2019,5,male,,MA
Relations,46000,yr,2014,52000,yr,P Full Time,2019,7,female,white,BA
Manager,32500,yr,2017,37000,yr,P,2019,5,female,white,BA
Manager,30000,yr,2011,45000,yr,P,2019,10,female,,MA
Assistant Curator,34000,yr,2016,35000,yr,C,2019,3,female,white,MA
Registrar,30000,yr,2014,42000,yr,P,2019,6,female,white,MA
Curator,48000,yr,2015,53500,yr,P,2019,12,female,white,MA
Visitor Experience,12,hr,2015,13,hr,H,2019,3,male,white,MA
Assistant,34000,yr,,34000,yr,H Full Time,2019,,female,white,
Director,25000,yr,2015,36000,yr,P,2019,5,female,white,No degree
Director,25000,yr,2015,36000,yr,P,2019,5,female,white,No degree
Registrar,16,hr,2018,16,hr,HP,2019,2,female,white,BA
Assistant Director,60000,yr,2015,65600,yr,P,2019,15,,,BA
Archivist,43000,yr,2016,45406,yr,HP,2019,7,,,
Director,70000,yr,2016,70000,yr,P,2019,26,female,white,MA
Curator,39900,yr,2013,56400,yr,P,2019,9,female,white,BA required MA preferred
Communications,40000,yr,2017,41000,yr,P,,3,female,white,BA
Curator,49900,yr,2011,57772,yr,P,2019,25,female,white,PhD
Assistant,,,,13.25,hr,H,,4,,,
Curator,32000,yr,2014,33800,yr,P,2019,6,,,MA
Assistant Curator,48000,yr,2014,53000,yr,P,2019,10,female,white,BA required MA preferred
Curator,40000,yr,2010,55000,yr,P,2019,10,female,white,No degree
Librarian,45000,yr,2016,60500,yr,P,2019,4,female,,MLIS
Relations,60000,yr,2018,60000,yr,P,2019,10,,,
Registrar,44000,yr,2019,,yr,HP,2019,11,female,latino,BA
Conservator,60000,yr,2003,93000,yr,P,2019,26,female,white,MA
Registrar,40000,yr,2013,47000,yr,P,2019,7,female,,MA
Conservator,36500,yr,2014,38800,yr,P,2018,4,male,white,BA required MA preferred
Coordinator,24336,yr,2014,45760,yr,HC,2019,12,female,white,MA
Manager,31000,yr,2015,36000,yr,P,2019,8,male,white,MA
