role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary 1,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Assistant,40000.0,yr,2017.0,40000.0,yr,n/a,2018.0,2.0,female,white,N
Technical,32000.0,yr,2016.0,37500.0,yr,P,2019.0,3.0,female,white,BA
Communications,36000.0,yr,2018.0,37000.0,yr,P,2019.0,2.0,female,white,BA
Education,28000.0,yr,2004.0,42750.0,yr,P,2019.0,17.0,female,white,BA
Manager,35000.0,yr,2016.0,40126.0,yr,P,2019.0,2.0,female,white,BA
Art Handler,22000.0,yr,2017.0,22880.0,yr,H,2019.0,4.0,male,white,BA
Coordinator,24900.0,yr,2017.0,33300.0,yr,H,2019.0,2.0,female,white,BA
Assistant Curator,52500.0,yr,2018.0,54075.0,yr,n/a,2019.0,5.0,female,white,MA
Curator,10.0,hr,2018.0,,N,C,2018.0,5.0,female,white,MA
other,67000.0,yr,N,N,yr,C,2019.0,15.0,female,white,MA
Communications,55000.0,yr,2014.0,62000.0,yr,n/a,2019.0,8.0,female,white,BA
Assistant Registrar,40000.0,yr,2018.0,40000.0,yr,P,2019.0,5.0,female,latino,MA
Assistant Educator,24600.0,yr,2018.0,16.0,hr,P,2019.0,1.0,female,white,BA
Assistant Registrar,30000.0,yr,2018.0,,N,n/a,2019.0,4.0,n/a,N,BA
Manager,45000.0,yr,2014.0,49000.0,yr,P,2019.0,8.0,female,white,MA
Manager,32000.0,yr,2017.0,38000.0,yr,P,2019.0,5.0,female,mixed,BA required MA preferred
Assistant Director,44000.0,yr,2012.0,46000.0,yr,P,2016.0,8.0,female,poc,BA
Librarian,11424.0,yr,2016.0,11592.0,yr,H,2019.0,5.0,female,white,N
Librarian,15.0,hr,N,15.45,hr,n/a,2019.0,5.0,female,white,BA required MA preferred
Assistant,35000.0,yr,2017.0,40000.0,yr,P,2019.0,5.0,female,white,BA
Assistant Registrar,43000.0,yr,2011.0,54000.0,yr,P,2019.0,15.0,female,N,N
Editorial,18.0,hr,2018.0,18.0,hr,"H,C",2019.0,3.0,female,white,MA
Manager,60000.0,yr,2016.0,61500.0,yr,P Full Time,2018.0,10.0,female,white,MA
Director,19000.0,yr,2012.0,32000.0,yr,P,2019.0,7.0,female,white,BA required MA preferred
Communications,44900.0,yr,2017.0,49900.0,yr,n/a,2019.0,20.0,female,white,N
Assistant Curator,50000.0,yr,2016.0,62500.0,yr,P,2019.0,14.0,male,white,MA
Assistant Curator,14.85,hr,2011.0,20.70 per hr,yr,"H,P",2016.0,5.0,female,white,BA required MA preferred
Curator,,,N,98000.0,yr,P,2019.0,39.0,female,white,PhD
Visitor Experience,18.0,hr,2017.0,19.0,hr,H,2018.0,2.0,male,white,None required MA preferred
Manager,16500.0,yr,2000.0,42000.0,yr,P,2019.0,18.0,n/a,white,BA
Manager,35000.0,yr,2009.0,45000.0,yr,P,2019.0,15.0,n/a,white,MA
Research,25000.0,yr,2011.0,40000.0,yr,P,2014.0,5.0,female,white,BA
Director,65000.0,yr,2019.0,65000.0,yr,P,2019.0,5.0,female,N,BA
Librarian,,,N,63000.0,yr,P,2019.0,9.0,n/a,N,MLIS
Manager,27000.0,yr,2009.0,40000.0,yr,"H,P",2019.0,9.0,female,white,MA
Assistant Curator,42098.0,yr,2017.0,43533.0,yr,P,2018.0,3.0,female,white,BA
Registrar,44000.0,yr,2015.0,50000.0,yr,P,2019.0,7.0,female,white,N
Director,46000.0,yr,2014.0,53000.0,yr,n/a,2019.0,20.0,female,white,N
Assistant,18.0,hr,2016.0,20.51,hr,H,2019.0,5.0,female,white,BA
Manager,26000.0,yr,2008.0,55000.0,yr,P,2019.0,,n/a,N,N
Conservator,75000.0,yr,2015.0,80000.0,yr,P,2019.0,14.0,female,asian,MA
Registrar,21000.0,yr,2016.0,33700.0,yr,"H,P",2019.0,4.0,male,N,HS
Education,20000.0,yr,2016.0,20000.0,yr,H,2019.0,4.0,n/a,N,BA
Curator,14.0,hr,2017.0,17.63,hr,H,2019.0,5.0,male,white,None required MA preferred
Manager,50000.0,yr,2017.0,65000.0,yr,P,2019.0,8.0,female,mixed,BA required MA preferred
Director,110000.0,yr,2014.0,120000.0,yr,P,2019.0,35.0,female,white,MA
Assistant Curator,36000.0,yr,2016.0,42000.0,yr,H,,6.0,n/a,N,MA
Coordinator,40000.0,yr,2015.0,40000.0,yr,P,2017.0,3.0,female,white,MA
Visitor Experience,12.0,hr,2018.0,13.0,hr,H,2019.0,1.0,female,latino,No degree
Sales,11.5,hr,2018.0,11.5,hr,H,2019.0,15.0,female,white,BA
Assistant Curator,38000.0,yr,2019.0,38000.0,yr,H,2019.0,3.0,female,latino,BA required MA preferred
Assistant,55000.0,yr,2011.0,65000.0,yr,P,2016.0,15.0,n/a,N,MA
Archivist,40000.0,yr,2015.0,67000.0,yr,P,2017.0,5.0,female,N,MA
Manager,46000.0,yr,2017.0,51000.0,yr,P,2019.0,10.0,n/a,N,N
Designer,,,N,52000.0,yr,n/a,2019.0,14.0,n/a,N,N
Education,31000.0,yr,2014.0,32000.0,yr,P,,5.0,n/a,N,N
Education,31000.0,yr,2014.0,32000.0,yr,P,,5.0,n/a,N,N
Assistant,31.2,hr,2017.0,33.64,hr,n/a,2019.0,3.0,female,N,N
Assistant,9.0,hr,2018.0,9.0,hr,H,2019.0,0.0,female,white,HS
Assistant,48500.0,yr,2018.0,51530.0,yr,P,2019.0,4.0,female,N,MA
Assistant Educator,37500.0,yr,2019.0,37500.0,yr,P,2019.0,7.0,female,N,MA
Visitor Experience,42000.0,yr,2019.0,42000.0,yr,"H,P",,3.0,female,asian,MA
Assistant,37440.0,yr,2019.0,37440.0,yr,P,2019.0,4.0,female,white,BA required MA preferred
Coordinator,16.5,hr,2017.0,16.5,hr,n/a,2019.0,3.0,female,white,No degree
Manager,36000.0,yr,2007.0,75000.0,yr,P,2019.0,18.0,female,white,No degree
Assistant,,,N,,N,H,,10.0,female,white,N
Assistant,26500.0,yr,2019.0,27500.0,yr,P,2019.0,5.0,female,white,BA
Director,40000.0,yr,2019.0,40000.0,yr,P,2019.0,6.0,female,white,No degree
Archivist,43000.0,yr,2018.0,43000.0,yr,H,2019.0,15.0,male,white,PhD
Teacher,75.0,hr,2018.0,2019.0,yr,H,2019.0,6.0,female,white,MA
Communications,50000.0,yr,2019.0,50000.0,yr,P,2019.0,4.0,female,white,N
Director,50000.0,yr,2014.0,52500.0,yr,P,2019.0,10.0,female,mixed,N
Manager,40000.0,yr,2016.0,42000.0,yr,P,2019.0,3.0,female,white,MA
Manager,53000.0,yr,N,53000.0,yr,P Full Time,2019.0,6.0,female,white,MA
Director,15000.0,yr,2017.0,24000.0,yr,n/a,n/a,9.0,female,white,MA
Writer,50000.0,yr,2018.0,50000.0,yr,P,,15.0,female,white,BA
Assistant,37000.0,yr,2018.0,37000.0,yr,P,2019.0,5.0,female,mixed,BA
Manager,18.0,hr,2017.0,47000.0,yr,P Full Time,2018.0,6.0,n/a,N,N
Coordinator,49000.0,yr,2016.0,50400.0,yr,P,2019.0,10.0,female,poc,BA
Manager,45000.0,yr,2012.0,47000.0,yr,n/a,2014.0,4.0,n/a,N,BA
Assistant Director,45000.0,yr,2013.0,50000.0,yr,n/a,2018.0,5.0,female,latino,MA
Manager,35000.0,yr,2012.0,80000.0,yr,P,2019.0,7.0,n/a,N,N
other,31000.0,yr,2017.0,35000.0,yr,P,2019.0,4.0,n/a,N,N
other,175000.0,yr,2018.0,180000.0,yr,P,2019.0,15.0,female,white,MA
Admin,45000.0,yr,2019.0,45000.0,yr,P,2019.0,3.0,n/a,N,N
Editor,30000.0,yr,2018.0,32000.0,yr,P,2019.0,2.0,female,white,BA
Manager,58000.0,yr,2015.0,58000.0,yr,P,2018.0,15.0,n/a,N,N
Manager,28000.0,yr,2016.0,40000.0,yr,P,,,other,white,N
Manager,14.0,hr,2013.0,20.0,hr,H,2019.0,6,female,white,N
Editor,42.0,hr,2017.0,48.0,hr,H,2019.0,10.0,female,white,N
Manager,,,N,70000.0,yr,n/a,,,n/a,N,N
Assistant Curator,80000.0,yr,N,80000.0,yr,P,2019.0,,female,mixed,PhD
Manager,38000.0,yr,2008.0,58000.0,yr,P,2019.0,10.0,male,white,BA
Assistant Registrar,54000.0,yr,2017.0,55000.0,yr,H,2019.0,10.0,female,N,N
Assistant Curator,62000.0,yr,2018.0,62000.0,yr,"H,P",2019.0,3.0,other,black,BA
other,39000.0,yr,2011.0,49430.0,yr,"H,P",2019.0,15.0,female,white,BA
Registrar,22.5,hr,N,,N,P,,,n/a,N,N
Assistant,21.0,hr,2017.0,23.5,hr,C,2019.0,2.0,n/a,white,BA
Assistant Curator,30000.0,yr,2018.0,49000.0,yr,n/a,2019.0,5.0,female,white,MA
Assistant Curator,40000.0,yr,2019.0,40000.0,yr,n/a,2019.0,0.0,male,white,MA
Assistant,38400.0,yr,2017.0,50000.0,yr,"H,P",2019.0,3.0,female,N,N
Writer,,,N,65000.0,yr,n/a,2019.0,10.0,male,white,MA
Assistant,50000.0,yr,2017.0,60000.0,yr,P,2019.0,6.0,n/a,N,N
Assistant,32000.0,yr,2018.0,38000.0,yr,P,2019.0,4.0,male,white,N
Art Handler,50000.0,yr,2013.0,75000.0,yr,P,2019.0,20.0,n/a,N,N
Designer,75000.0,yr,2018.0,77400.0,yr,P,2019.0,4,female,white,BA
Assistant,42000.0,yr,2018.0,42000.0,yr,P,2019.0,1.0,female,asian,BA
Education,18.15,hr,2018.0,18.15,hr,H,,,n/a,N,BA
Education,18.15,hr,2018.0,18.15,hr,H,,,n/a,N,BA
Manager,32000.0,yr,2015.0,52000.0,yr,P,2019.0,4.0,n/a,N,N
Writer,,,N,58500.0,yr,n/a,2019.0,,n/a,N,N
Communications,46583.0,yr,2018.0,46.583,yr,P,2019.0,4.0,other,white,BA
Gallery Assistant,18.0,hr,2016.0,18.0,hr,H,2017.0,6.0,female,white,BA
Admin,47250.0,yr,2017.0,50000.0,yr,P,2019.0,6.0,female,white,N
Designer,45000.0,yr,2010.0,59000.0,yr,P,2019.0,9.0,female,white,BA
Assistant Curator,,,N,59000.0,yr,P,2019.0,,n/a,N,N
other,27000.0,yr,2013.0,69000.0,yr,P,2019.0,20.0,other,white,MA
Conservator,80000.0,yr,2013.0,90000.0,yr,P,2019.0,20.0,n/a,N,MA
Technical,50000.0,yr,2018.0,65000.0,yr,P,2019.0,2.0,n/a,N,MA
Director,105000.0,yr,2012.0,120000.0,yr,n/a,2019.0,40.0,female,white,No degree
Assistant Curator,50000.0,yr,2017.0,60000.0,yr,P,2019.0,10.0,female,white,MA
Designer,,,N,66000.0,yr,P,2018.0,5.0,n/a,N,BA
Communications,70000.0,yr,2016.0,83000.0,yr,H Full Time,2019.0,8.0,female,white,N
Assistant,45000.0,yr,2018.0,,N,P,,6.0,female,white,BA
Assistant Curator,49920.0,yr,2017.0,54985.84,yr,P,2019.0,5.0,female,white,BA
Education,60000.0,yr,2017.0,63000.0,yr,P,2019.0,7.0,female,white,No degree
Manager,35500.0,yr,2016.0,35500.0,yr,P,2016.0,8.0,female,white,MA
Registrar,12.5,hr,2016.0,18.0,hr,n/a,,,n/a,N,N
Assistant Curator,,,N,30000.0,yr,P,2019.0,5.0,other,black,BA
Education,9.0,hr,2014.0,10.0,hr,H,2019.0,2.0,n/a,N,HS
Director,22000.0,yr,1998.0,26000.0,yr,P,2000.0,3.0,n/a,white,BA
Manager,31200.0,yr,2012.0,35759.88,yr,"H,P",2019.0,9.0,female,white,BA
Assistant Registrar,40000.0,yr,2019.0,,N,H,2019.0,5.0,female,white,BA required MA preferred
Registrar,45000.0,yr,2019.0,45000.0,yr,P,2019.0,3.0,female,latino,BA
Archivist,15.0,hr,2017.0,26.0,hr,C,2019.0,4.0,other,white,MLIS
Gallery Assistant,15.0,hr,2011.0,32.0,hr,P,2012.0,1.0,female,N,BA
Registrar,62500.0,yr,2019.0,62500.0,yr,P,2019.0,10.0,female,N,N
Curator,50000.0,yr,N,50000.0,yr,C,2019.0,12.0,female,poc,PhD
Visitor Experience,,,N,12.0,hr,H,2019.0,4.0,n/a,N,N
Manager,47500.0,yr,2016.0,55000.0,yr,P,2019.0,6.0,female,white,MA
Manager,47500.0,yr,2015.0,50000.0,yr,n/a,2019.0,17.0,female,N,MA
Registrar,24.0,hr,2018.0,24.0,hr,H,2019.0,2,female,white,N
Archivist,52000.0,yr,2018.0,52000.0,yr,P,2019.0,5.0,female,white,MLIS
Designer,40000.0,yr,2019.0,40000.0,yr,n/a,2019.0,1.0,n/a,N,N
Communications,40000.0,yr,2019.0,40000.0,yr,P,2019.0,3.0,n/a,N,BA
Director,70000.0,yr,2019.0,,N,P,2019.0,12.0,n/a,N,MA
Assistant,30000.0,yr,2015.0,40000.0,yr,P,2019.0,4.0,female,white,N
Director,80000.0,yr,N,,N,P,2016.0,,n/a,N,N
Manager,37500.0,yr,2014.0,39000.0,yr,P,2019.0,10.0,female,white,No degree
Manager,37000.0,yr,2016.0,46000.0,yr,P,2019.0,7.0,female,white,BA
Curator,28000.0,yr,2014.0,37000.0,yr,H,2019.0,10.0,female,white,MA
Visitor Experience,12.5,hr,2017.0,13.77,hr,H,2019.0,2.0,female,latino,N
Communications,,,N,60000.0,yr,P,2019.0,10.0,female,white,BA required MA preferred
Coordinator,36000.0,yr,2017.0,38600.0,yr,P,2019.0,5.0,female,white,BA required MA preferred
Director,25200.0,yr,2019.0,25200.0,yr,C,2019.0,2.0,female,white,BA
Director,20.0,hr,2017.0,21.0,hr,H,2019.0,12.0,female,white,MA
Visitor Experience,12.0,hr,2018.0,12.0,hr,H,2019.0,2.0,female,white,No degree
Assistant,6.95,hr,N,6.95,hr,H,2007.0,1.0,female,white,N
Director,56275.0,yr,N,57682.0,yr,P,,,n/a,N,MA
Manager,65000.0,yr,2016.0,73000.0,yr,P,2019.0,11.0,male,white,BA
Communications,41000.0,yr,2016.0,49000.0,yr,P,2019.0,9.0,female,N,BA required MA preferred
Manager,51000.0,yr,2019.0,,N,P,2019.0,1.0,female,white,MA
Assistant Director,30000.0,yr,2014.0,47000.0,yr,P,2017.0,6.0,female,white,BA
Director,37000.0,yr,2017.0,37000.0,yr,H,2019.0,8.0,female,white,BA
Photographer,36000.0,yr,2018.0,38000.0,yr,P,,7.0,other,N,BA
Manager,,,N,,N,H,2019.0,6.0,female,white,N
Manager,32000.0,yr,2017.0,39220.0,yr,P,2019.0,4.0,female,white,N
Intern,2400.0,yr,2019.0,N,yr,unpaid,2019.0,1.0,n/a,white,BA
Curator,40000.0,yr,2015.0,52000.0,yr,n/a,2019.0,5.0,female,white,MA
Communications,50000.0,yr,2017.0,52000.0,yr,P,2019.0,5.0,female,white,BA
Assistant Curator,10.0,hr,2019.0,10.0,hr,C,2019.0,15.0,female,white,N
Coordinator,40000.0,yr,2011.0,35000.0,yr,P,2019.0,12.0,female,mixed,MA
Director,100000.0,yr,2019.0,100000.0,yr,P,2019.0,17.0,male,N,MA
Assistant Director,28000.0,yr,2011.0,49000.0,yr,P,2019.0,15.0,female,white,MA
Admin,12.0,hr,2017.0,12.0,hr,H,2019.0,3.0,n/a,N,N
Photographer,28000.0,yr,2018.0,28000.0,yr,P,2019.0,6.0,female,white,MA
Designer,37000.0,yr,2015.0,40000.0,yr,H,2019.0,15.0,female,poc,N
Curator,32880.0,yr,2017.0,38850.0,yr,"H,P",2019.0,7.0,female,white,No degree
Curator,90.0,hr,2006.0,140.0,hr,H,2019.0,16.0,female,N,MA
Assistant,60000.0,yr,2017.0,65000.0,yr,H,2019.0,3.0,n/a,N,N
Archivist,18.0,hr,2018.0,18.0,hr,"H,C",2018.0,6.0,female,white,BA
Registrar,42000.0,yr,2017.0,43500.0,yr,P,2019.0,5.0,other,white,BA
Registrar,60000.0,yr,2011.0,75432.0,yr,n/a,2019.0,10.0,female,white,MA
Manager,43000.0,yr,2014.0,57000.0,yr,P,2018.0,16.0,male,white,BA
Curator,44900.0,yr,2019.0,44900.0,yr,H,2019.0,4.0,female,poc,No degree
Director,42500.0,yr,2007.0,54950.0,yr,P,2019.0,20.0,male,white,MA
Director,65000.0,yr,2019.0,65000.0,yr,P,2019.0,16.0,female,white,MA
Coordinator,16.0,hr,2013.0,16.87,hr,H,2019.0,6.0,female,N,MA
Director,18000.0,yr,2019.0,18000.0,yr,H,2019.0,6.0,female,white,BA
Conservator,34500.0,yr,2016.0,35535.0,yr,"H,P",2019.0,10.0,male,white,MA
Manager,50000.0,yr,2017.0,51500.0,yr,P,2019.0,5.0,female,white,BA
